Fecha,Hora,Temperatura (°C),Humedad (%)
2025-10-17,11:06:17,21.7,43.9
2025-10-17,11:06:19,21.7,43.8
2025-10-17,11:06:21,21.7,43.7
2025-10-17,11:06:24,21.7,43.7
2025-10-17,11:06:26,21.7,43.6
2025-10-17,11:06:28,21.7,43.5
2025-10-17,11:06:30,21.7,43.5
2025-10-17,11:06:33,21.7,43.4
2025-10-17,11:06:35,21.7,43.4
2025-10-17,11:06:38,21.7,43.4
2025-10-17,11:06:40,21.7,43.4
2025-10-17,11:06:42,21.7,43.4
2025-10-17,11:06:44,21.7,43.5
2025-10-17,11:06:46,21.7,43.6
2025-10-17,11:06:48,21.7,43.6
2025-10-17,11:06:50,21.7,43.6
2025-10-17,11:06:52,21.7,43.7
2025-10-17,11:06:54,21.7,43.7
2025-10-17,11:06:56,21.7,43.6
2025-10-17,11:06:59,21.7,43.9
2025-10-17,11:07:01,21.7,43.8
2025-10-17,11:07:03,21.7,43.7
2025-10-17,11:07:05,21.7,43.7
2025-10-17,11:07:07,21.7,43.6
2025-10-17,11:07:09,21.7,43.7
2025-10-17,11:07:11,21.7,43.6
2025-10-17,11:07:14,21.7,43.6
2025-10-17,11:07:16,21.7,43.5
2025-10-17,11:07:19,21.7,43.5
2025-10-17,11:07:21,21.7,43.4
2025-10-17,11:07:23,21.7,43.4
2025-10-17,11:07:25,21.7,43.4
2025-10-17,11:07:27,21.7,43.4
2025-10-17,11:07:30,21.7,43.4
2025-10-17,11:07:32,21.7,43.3
2025-10-17,11:07:34,21.7,43.3
2025-10-17,11:07:36,21.7,43.2
2025-10-17,11:07:39,21.7,43.5
2025-10-17,11:07:41,21.7,43.7
